CODCLI,REPRESENTACAO
317857,0.02446%
270433,0.02446%
324297,0.02431%
32517,0.02431%
16278,0.02431%
15751,0.02431%
6765,0.02431%
58077,0.02431%
312967,0.02431%
328701,0.02431%
24702,0.02431%
307514,0.02416%
57516,0.02416%
13304,0.02416%
308180,0.02400%
309075,0.02400%
25201,0.02400%
21569,0.02400%
61557,0.02385%
295190,0.02385%
326581,0.02385%
309625,0.02385%
24705,0.02385%
19130,0.02385%
13435,0.02385%
16076,0.02369%
312753,0.02369%
319791,0.02369%
308127,0.02369%
2308,0.02354%
11681,0.02354%
313386,0.02354%
6729,0.02354%
19776,0.02354%
19157,0.02354%
316899,0.02354%
62259,0.02354%
13262,0.02354%
325934,0.02354%
18381,0.02338%
33063,0.02338%
270334,0.02338%
14566,0.02323%
267838,0.02323%
266965,0.02323%
301773,0.02323%
301657,0.02323%
17151,0.02323%
15585,0.02323%
325506,0.02323%
319154,0.02323%
271404,0.02323%
318374,0.02323%
313448,0.02323%
314995,0.02307%
303223,0.02307%
15796,0.02307%
327161,0.02307%
64569,0.02292%
17261,0.02292%
19657,0.02292%
55560,0.02292%
101,0.02292%
301529,0.02292%
57358,0.02292%
325441,0.02292%
24946,0.02276%
306486,0.02276%
19410,0.02276%
64600,0.02276%
270902,0.02276%
320014,0.02276%
317623,0.02261%
309822,0.02261%
319037,0.02261%
330485,0.02261%
21766,0.02261%
267443,0.02261%
32691,0.02261%
309860,0.02245%
25732,0.02245%
28661,0.02245%
2301,0.02245%
64017,0.02245%
28591,0.02230%
22649,0.02230%
19839,0.02230%
324905,0.02230%
15627,0.02230%
319031,0.02230%
20236,0.02230%
267750,0.02230%
307970,0.02230%
317556,0.02230%
313396,0.02230%
313169,0.02214%
317965,0.02214%
2348,0.02214%
3296,0.02214%
15542,0.02214%
270044,0.02214%
59611,0.02214%
317760,0.02214%
315005,0.02214%
317866,0.02199%
312355,0.02199%
302239,0.02199%
57744,0.02199%
16548,0.02199%
55469,0.02199%
309435,0.02183%
16252,0.02183%
33162,0.02183%
63980,0.02183%
9410,0.02183%
269709,0.02183%
15840,0.02183%
318544,0.02183%
33837,0.02168%
325246,0.02168%
28508,0.02168%
18050,0.02168%
14131,0.02168%
331,0.02168%
267683,0.02168%
324274,0.02168%
271011,0.02168%
310478,0.02168%
271643,0.02152%
310503,0.02152%
12143,0.02152%
33249,0.02152%
320934,0.02152%
17452,0.02152%
16913,0.02152%
11615,0.02152%
59524,0.02152%
306507,0.02152%
30489,0.02152%
306400,0.02137%
16118,0.02137%
267076,0.02137%
310203,0.02137%
328029,0.02137%
30516,0.02121%
305307,0.02121%
13718,0.02121%
4147,0.02121%
270583,0.02121%
319943,0.02121%
22795,0.02121%
17463,0.02121%
270100,0.02121%
62251,0.02121%
269716,0.02121%
302601,0.02121%
19282,0.02121%
21777,0.02106%
302352,0.02106%
63581,0.02106%
266426,0.02106%
310605,0.02090%
13797,0.02090%
63051,0.02090%
22644,0.02090%
317946,0.02090%
25545,0.02090%
16572,0.02090%
309308,0.02090%
323838,0.02090%
317928,0.02090%
19135,0.02075%
64449,0.02075%
266840,0.02075%
57426,0.02075%
16540,0.02059%
15728,0.02059%
314661,0.02059%
20474,0.02059%
58418,0.02059%
11705,0.02059%
307815,0.02059%
328824,0.02059%
20208,0.02059%
314939,0.02044%
17459,0.02044%
13484,0.02044%
2768,0.02044%
13379,0.02044%
324413,0.02044%
14541,0.02044%
269689,0.02044%
295159,0.02044%
21306,0.02044%
302321,0.02044%
14295,0.02044%
267245,0.02028%
309198,0.02028%
26158,0.02028%
58241,0.02028%
65041,0.02028%
22277,0.02028%
3821,0.02028%
318106,0.02028%
308809,0.02028%
267420,0.02028%
308075,0.02028%
321268,0.02028%
25489,0.02028%
312582,0.02013%
64421,0.02013%
13805,0.02013%
301325,0.02013%
24490,0.02013%
15997,0.02013%
12650,0.02013%
13864,0.02013%
14544,0.02013%
320102,0.02013%
307539,0.01997%
450,0.01997%
301486,0.01997%
267964,0.01997%
65243,0.01997%
62083,0.01997%
3716,0.01997%
295211,0.01997%
15592,0.01982%
18799,0.01982%
324776,0.01982%
3715,0.01982%
61969,0.01982%
15770,0.01982%
271505,0.01982%
306867,0.01966%
17306,0.01966%
55490,0.01966%
59733,0.01966%
268440,0.01966%
310726,0.01966%
307006,0.01966%
19387,0.01966%
17742,0.01966%
21085,0.01951%
7189,0.01951%
59704,0.01951%
312636,0.01951%
4315,0.01951%
28707,0.01951%
312690,0.01951%
20229,0.01951%
19828,0.01951%
14294,0.01951%
318358,0.01936%
57867,0.01936%
271480,0.01936%
57955,0.01936%
15877,0.01936%
13580,0.01936%
33460,0.01936%
317897,0.01936%
33823,0.01936%
62578,0.01936%
310571,0.01936%
316537,0.01936%
314074,0.01936%
306829,0.01936%
25430,0.01920%
62154,0.01920%
13456,0.01920%
13328,0.01920%
168,0.01920%
318169,0.01920%
20518,0.01920%
32410,0.01920%
15563,0.01920%
267438,0.01920%
24889,0.01920%
32356,0.01905%
301796,0.01905%
63231,0.01905%
58219,0.01905%
325658,0.01905%
13270,0.01905%
19910,0.01905%
58288,0.01905%
57872,0.01905%
14450,0.01905%
318327,0.01905%
16242,0.01905%
61525,0.01905%
268304,0.01905%
33425,0.01889%
268054,0.01889%
13688,0.01889%
55939,0.01889%
25400,0.01889%
20127,0.01889%
314473,0.01889%
13857,0.01889%
313801,0.01889%
307878,0.01889%
15971,0.01889%
301890,0.01874%
301883,0.01874%
33790,0.01874%
65277,0.01874%
16335,0.01874%
302136,0.01874%
302089,0.01874%
323758,0.01874%
20978,0.01874%
318262,0.01874%
320369,0.01874%
324874,0.01874%
59420,0.01858%
61533,0.01858%
17934,0.01858%
62753,0.01858%
16084,0.01858%
267882,0.01858%
19792,0.01858%
330655,0.01858%
16798,0.01858%
62709,0.01858%
15946,0.01858%
317027,0.01858%
328507,0.01858%
58105,0.01858%
17827,0.01858%
28534,0.01858%
301164,0.01858%
317749,0.01843%
16134,0.01843%
15990,0.01843%
62565,0.01843%
311863,0.01843%
62099,0.01843%
61626,0.01843%
311926,0.01827%
313612,0.01827%
326854,0.01827%
309744,0.01827%
13886,0.01827%
18884,0.01827%
312615,0.01827%
317914,0.01827%
15713,0.01827%
63363,0.01827%
32570,0.01827%
16464,0.01827%
64393,0.01827%
19419,0.01827%
24878,0.01827%
21516,0.01812%
22621,0.01812%
2926,0.01812%
19577,0.01812%
318448,0.01812%
268550,0.01812%
18218,0.01812%
325817,0.01812%
62851,0.01796%
135,0.01796%
318491,0.01796%
267762,0.01796%
267494,0.01796%
327015,0.01796%
321310,0.01796%
325476,0.01796%
19530,0.01796%
317661,0.01796%
16977,0.01796%
271107,0.01796%
313529,0.01781%
15601,0.01781%
15949,0.01781%
55447,0.01781%
268172,0.01781%
58582,0.01781%
63941,0.01781%
321137,0.01781%
7276,0.01781%
267412,0.01781%
327810,0.01765%
6695,0.01765%
64311,0.01765%
318162,0.01765%
266984,0.01765%
267930,0.01765%
268325,0.01765%
267829,0.01765%
327241,0.01765%
18667,0.01765%
331124,0.01765%
13333,0.01765%
302764,0.01765%
306761,0.01765%
17555,0.01750%
317198,0.01750%
55566,0.01750%
57626,0.01750%
24669,0.01750%
17619,0.01750%
301751,0.01750%
57880,0.01750%
16185,0.01750%
16630,0.01750%
26072,0.01750%
14007,0.01734%
307717,0.01734%
308828,0.01734%
308806,0.01734%
13809,0.01734%
320324,0.01734%
311946,0.01734%
315241,0.01734%
203,0.01734%
268091,0.01734%
349,0.01734%
270984,0.01734%
266511,0.01734%
317849,0.01734%
310335,0.01734%
24810,0.01734%
317955,0.01734%
64059,0.01734%
13865,0.01734%
266833,0.01734%
21729,0.01719%
268405,0.01719%
310545,0.01719%
21896,0.01719%
312243,0.01719%
62464,0.01719%
33086,0.01719%
303388,0.01719%
19089,0.01719%
319693,0.01719%
24898,0.01719%
64158,0.01719%
307585,0.01719%
320044,0.01719%
33495,0.01719%
313125,0.01719%
22191,0.01719%
21351,0.01719%
317131,0.01703%
312272,0.01703%
312436,0.01703%
24566,0.01703%
267874,0.01703%
326794,0.01703%
20251,0.01703%
14047,0.01703%
267607,0.01703%
301270,0.01703%
307437,0.01703%
325296,0.01703%
303289,0.01688%
320134,0.01688%
303235,0.01688%
62640,0.01688%
327230,0.01688%
65042,0.01688%
16007,0.01688%
6882,0.01688%
317426,0.01688%
186,0.01688%
63040,0.01688%
309623,0.01688%
320855,0.01688%
28708,0.01688%
320406,0.01688%
307246,0.01688%
319578,0.01672%
317543,0.01672%
295258,0.01672%
61516,0.01672%
313445,0.01672%
25955,0.01672%
319252,0.01672%
267645,0.01672%
33556,0.01672%
15584,0.01672%
308130,0.01672%
307950,0.01672%
313350,0.01672%
330000,0.01672%
19481,0.01672%
267340,0.01672%
325347,0.01672%
17607,0.01672%
324784,0.01672%
32874,0.01672%
316809,0.01672%
324695,0.01672%
14623,0.01672%
317416,0.01672%
317406,0.01672%
3734,0.01657%
314553,0.01657%
317987,0.01657%
266379,0.01657%
56167,0.01657%
267886,0.01657%
19433,0.01657%
32852,0.01657%
28563,0.01657%
11545,0.01657%
58297,0.01657%
325541,0.01657%
15755,0.01657%
28681,0.01657%
20671,0.01657%
315268,0.01657%
318137,0.01657%
308061,0.01641%
311904,0.01641%
12271,0.01641%
17082,0.01641%
312634,0.01641%
314449,0.01641%
20585,0.01641%
6821,0.01641%
316793,0.01641%
317468,0.01641%
16415,0.01641%
324011,0.01641%
62300,0.01641%
26257,0.01641%
25174,0.01641%
311910,0.01641%
63036,0.01641%
313806,0.01641%
301786,0.01641%
14619,0.01626%
316562,0.01626%
12160,0.01626%
321171,0.01626%
3511,0.01626%
26060,0.01626%
63730,0.01626%
15499,0.01626%
18304,0.01626%
327163,0.01626%
308888,0.01626%
324498,0.01626%
266702,0.01626%
308352,0.01626%
271691,0.01626%
59846,0.01626%
15732,0.01626%
58015,0.01626%
20784,0.01610%
17204,0.01610%
56269,0.01610%
16261,0.01610%
63115,0.01610%
14436,0.01610%
56070,0.01610%
270435,0.01610%
13601,0.01610%
12901,0.01610%
13825,0.01610%
4114,0.01610%
317740,0.01610%
268508,0.01610%
28523,0.01610%
310026,0.01610%
60032,0.01610%
317343,0.01610%
324313,0.01610%
266513,0.01610%
59380,0.01610%
320815,0.01610%
318145,0.01610%
17874,0.01610%
55773,0.01610%
17300,0.01610%
271298,0.01610%
312144,0.01595%
319322,0.01595%
315182,0.01595%
14062,0.01595%
26114,0.01595%
16744,0.01595%
268365,0.01595%
307542,0.01595%
305609,0.01595%
25555,0.01595%
20547,0.01595%
18643,0.01595%
17098,0.01595%
309179,0.01595%
20058,0.01595%
24961,0.01595%
64762,0.01595%
55749,0.01595%
329604,0.01595%
309854,0.01595%
302317,0.01595%
12505,0.01579%
15909,0.01579%
2716,0.01579%
325460,0.01579%
21090,0.01579%
15968,0.01579%
16588,0.01579%
320595,0.01579%
309002,0.01579%
17503,0.01579%
32806,0.01579%
16401,0.01579%
13620,0.01579%
324473,0.01564%
19883,0.01564%
25438,0.01564%
268097,0.01564%
55612,0.01564%
21648,0.01564%
64511,0.01564%
306028,0.01564%
270138,0.01564%
324102,0.01564%
62890,0.01564%
312343,0.01564%
306697,0.01564%
329371,0.01564%
328995,0.01564%
32877,0.01548%
59811,0.01548%
17907,0.01548%
19014,0.01548%
64880,0.01548%
295167,0.01548%
309857,0.01548%
308027,0.01548%
271552,0.01548%
315932,0.01548%
55967,0.01548%
308522,0.01548%
64,0.01548%
268298,0.01548%
326702,0.01548%
16930,0.01548%
24611,0.01548%
32627,0.01548%
310678,0.01533%
317085,0.01533%
13481,0.01533%
15691,0.01533%
315327,0.01533%
14357,0.01533%
20545,0.01533%
324027,0.01533%
57564,0.01533%
61467,0.01533%
313764,0.01533%
22800,0.01517%
312700,0.01517%
327355,0.01517%
302283,0.01517%
317780,0.01517%
7220,0.01517%
408,0.01517%
13318,0.01517%
325069,0.01517%
20468,0.01517%
17664,0.01517%
320687,0.01517%
20733,0.01517%
3641,0.01517%
15622,0.01517%
324634,0.01517%
25539,0.01517%
64612,0.01517%
17166,0.01502%
323537,0.01502%
13487,0.01502%
318356,0.01502%
20400,0.01502%
534,0.01502%
270829,0.01502%
318062,0.01502%
57639,0.01502%
19432,0.01502%
306637,0.01502%
269570,0.01502%
324029,0.01502%
314185,0.01502%
270380,0.01502%
270588,0.01502%
19350,0.01502%
307067,0.01502%
271067,0.01486%
25369,0.01486%
306218,0.01486%
330644,0.01486%
302030,0.01486%
59863,0.01486%
324705,0.01486%
59626,0.01486%
22271,0.01486%
16871,0.01486%
62883,0.01486%
25019,0.01486%
13443,0.01486%
266902,0.01486%
314864,0.01486%
320321,0.01486%
309827,0.01486%
326009,0.01486%
307872,0.01471%
306144,0.01471%
17721,0.01471%
271331,0.01471%
310099,0.01471%
2735,0.01471%
33174,0.01471%
330195,0.01471%
302047,0.01471%
269810,0.01471%
310760,0.01471%
327682,0.01471%
324439,0.01456%
20328,0.01456%
55791,0.01456%
59921,0.01456%
16868,0.01456%
15559,0.01456%
318300,0.01456%
3342,0.01456%
13453,0.01456%
325011,0.01456%
324230,0.01456%
268534,0.01456%
318030,0.01456%
13967,0.01456%
318050,0.01456%
25785,0.01456%
317603,0.01440%
318813,0.01440%
16041,0.01440%
17330,0.01440%
318342,0.01440%
11675,0.01440%
306255,0.01440%
315357,0.01440%
61414,0.01440%
266571,0.01440%
63048,0.01440%
15918,0.01440%
309524,0.01440%
270729,0.01440%
32757,0.01440%
2895,0.01440%
24555,0.01440%
270097,0.01440%
308910,0.01440%
33407,0.01440%
318124,0.01440%
318182,0.01440%
328744,0.01440%
17791,0.01440%
314030,0.01440%
64284,0.01440%
307947,0.01425%
267424,0.01425%
331871,0.01425%
61824,0.01425%
313566,0.01425%
20193,0.01425%
269596,0.01425%
310223,0.01425%
12572,0.01425%
320968,0.01425%
16125,0.01425%
18807,0.01425%
13251,0.01425%
13243,0.01425%
325583,0.01425%
318357,0.01425%
16668,0.01425%
313300,0.01425%
15523,0.01425%
309758,0.01425%
324839,0.01425%
18654,0.01425%
20427,0.01425%
324201,0.01425%
295217,0.01425%
302064,0.01425%
323760,0.01425%
316516,0.01409%
6805,0.01409%
63700,0.01409%
16934,0.01409%
17575,0.01409%
266572,0.01409%
319969,0.01409%
16059,0.01409%
20477,0.01409%
316409,0.01409%
62754,0.01409%
24610,0.01409%
302551,0.01409%
313818,0.01409%
307235,0.01409%
310525,0.01409%
302219,0.01409%
315138,0.01409%
18911,0.01409%
318527,0.01394%
270010,0.01394%
56032,0.01394%
317824,0.01394%
57597,0.01394%
20054,0.01394%
308003,0.01394%
13319,0.01394%
306202,0.01394%
64345,0.01394%
307295,0.01394%
11709,0.01394%
58429,0.01394%
314073,0.01394%
317615,0.01394%
20375,0.01394%
312780,0.01394%
33833,0.01394%
20612,0.01394%
324290,0.01394%
18417,0.01394%
326764,0.01394%
266403,0.01394%
314299,0.01394%
327419,0.01394%
18558,0.01378%
317590,0.01378%
21128,0.01378%
315959,0.01378%
308058,0.01378%
18370,0.01378%
309034,0.01378%
16154,0.01378%
17180,0.01378%
15999,0.01378%
21584,0.01378%
319960,0.01378%
318399,0.01378%
17364,0.01378%
268173,0.01378%
19835,0.01378%
301739,0.01378%
316017,0.01378%
21302,0.01378%
32870,0.01378%
311889,0.01378%
17190,0.01378%
13388,0.01378%
327061,0.01378%
325346,0.01378%
320700,0.01363%
312589,0.01363%
314919,0.01363%
315189,0.01363%
64402,0.01363%
32552,0.01363%
312572,0.01363%
306263,0.01363%
7080,0.01363%
310018,0.01363%
320819,0.01363%
16183,0.01363%
326372,0.01363%
269548,0.01363%
16410,0.01347%
268432,0.01347%
28391,0.01347%
62190,0.01347%
25043,0.01347%
307166,0.01347%
16954,0.01347%
312198,0.01347%
327366,0.01347%
65013,0.01347%
309683,0.01347%
268077,0.01347%
316803,0.01347%
306857,0.01347%
64687,0.01347%
313238,0.01347%
314411,0.01347%
14426,0.01347%
271535,0.01347%
25971,0.01347%
20757,0.01347%
63721,0.01347%
319936,0.01347%
58107,0.01347%
65263,0.01347%
318402,0.01347%
302877,0.01347%
268222,0.01347%
3192,0.01347%
19038,0.01332%
16212,0.01332%
295271,0.01332%
310032,0.01332%
312715,0.01332%
16398,0.01332%
309385,0.01332%
320381,0.01332%
16616,0.01332%
28426,0.01332%
325538,0.01332%
15777,0.01332%
62041,0.01332%
269644,0.01332%
18542,0.01332%
271369,0.01332%
20008,0.01332%
317482,0.01332%
13702,0.01332%
57579,0.01332%
22447,0.01332%
307093,0.01332%
20066,0.01332%
18319,0.01332%
17316,0.01332%
313265,0.01332%
19946,0.01332%
61518,0.01316%
16479,0.01316%
32801,0.01316%
14495,0.01316%
21423,0.01316%
16570,0.01316%
270622,0.01316%
32693,0.01316%
267392,0.01316%
2384,0.01316%
17492,0.01316%
325724,0.01316%
15978,0.01316%
268519,0.01316%
302137,0.01316%
16608,0.01316%
324977,0.01316%
329690,0.01316%
310369,0.01316%
271571,0.01316%
20172,0.01316%
317960,0.01316%
63543,0.01316%
3209,0.01316%
56058,0.01316%
65248,0.01316%
306982,0.01316%
16809,0.01316%
14051,0.01301%
63870,0.01301%
266734,0.01301%
55941,0.01301%
20466,0.01301%
17522,0.01301%
306918,0.01301%
22310,0.01301%
62563,0.01301%
21705,0.01301%
24615,0.01301%
12380,0.01301%
26110,0.01301%
15791,0.01301%
13079,0.01301%
18760,0.01301%
324450,0.01301%
317431,0.01301%
55858,0.01301%
320111,0.01301%
22544,0.01301%
307595,0.01301%
33377,0.01301%
26143,0.01301%
320141,0.01301%
308025,0.01301%
321294,0.01301%
321252,0.01285%
16877,0.01285%
2690,0.01285%
12990,0.01285%
15883,0.01285%
3332,0.01285%
55357,0.01285%
18833,0.01285%
62974,0.01285%
21895,0.01285%
13686,0.01285%
25629,0.01285%
64950,0.01285%
14176,0.01285%
33121,0.01285%
65339,0.01285%
317355,0.01285%
326585,0.01285%
26332,0.01285%
13406,0.01285%
266577,0.01285%
319239,0.01285%
320047,0.01285%
314532,0.01285%
327640,0.01285%
305673,0.01285%
326272,0.01285%
16400,0.01270%
324559,0.01270%
17477,0.01270%
15570,0.01270%
22032,0.01270%
21162,0.01270%
308823,0.01270%
308585,0.01270%
24892,0.01270%
13261,0.01270%
17369,0.01270%
17634,0.01270%
57820,0.01270%
20267,0.01270%
331066,0.01270%
3710,0.01270%
3649,0.01270%
308885,0.01270%
302238,0.01270%
317371,0.01270%
320762,0.01270%
61778,0.01270%
61442,0.01270%
301354,0.01254%
55527,0.01254%
17755,0.01254%
15618,0.01254%
18891,0.01254%
268047,0.01254%
17688,0.01254%
59941,0.01254%
271222,0.01254%
63106,0.01254%
13341,0.01254%
58232,0.01254%
313252,0.01254%
301371,0.01254%
312521,0.01254%
63571,0.01254%
315388,0.01254%
18866,0.01254%
24713,0.01254%
33329,0.01254%
326329,0.01254%
18033,0.01254%
269429,0.01254%
295252,0.01254%
313616,0.01254%
15843,0.01254%
319094,0.01239%
24794,0.01239%
64341,0.01239%
14425,0.01239%
266669,0.01239%
315366,0.01239%
323932,0.01239%
266816,0.01239%
319036,0.01239%
13478,0.01239%
307896,0.01239%
19490,0.01239%
4250,0.01239%
18929,0.01239%
13912,0.01239%
318341,0.01239%
301469,0.01239%
316459,0.01239%
267382,0.01239%
309471,0.01239%
17333,0.01239%
55908,0.01239%
305951,0.01239%
21597,0.01239%
18987,0.01239%
326776,0.01239%
18116,0.01239%
55861,0.01239%
58271,0.01239%
324712,0.01239%
56106,0.01239%
62337,0.01239%
318082,0.01239%
32892,0.01223%
58062,0.01223%
55929,0.01223%
16359,0.01223%
301946,0.01223%
15528,0.01223%
13225,0.01223%
318158,0.01223%
324255,0.01223%
58088,0.01223%
2171,0.01223%
64179,0.01223%
