CODCLI,ESPECIE,PORTE,IDADE,REPRESENTACAO
317886,CÃES,PEQUENO,ADULTO|SÊNIOR,0.00341%
321086,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO|SÊNIOR,0.00325%
63771,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,ADULTO,0.00279%
14451,CÃES,MÉDIO|GRANDE|GIGANTE,ADULTO,0.00279%
327154,CÃES,GRANDE|GIGANTE,ADULTO,0.00248%
57487,CÃES,MÉDIO|GRANDE,FILHOTE,0.00248%
59574,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,SÊNIOR,0.00248%
20441,CÃES,SEM PORTE,ADULTO,0.00248%
324902,CÃES,SEM PORTE,SEM IDADE,0.00248%
324996,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE,0.00232%
16584,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.00232%
324226,CÃES,PEQUENO|MÉDIO,FILHOTE,0.00217%
57504,CÃES|GATOS,SEM PORTE,SEM IDADE,0.00217%
24519,PEIXES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00201%
315875,CÃES|GATOS|PÁSSAROS,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR,0.00201%
17165,CÃES|GATOS,GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00186%
314398,CÃES,PEQUENO|MÉDIO|GRANDE,SEM IDADE,0.00186%
309303,CÃES|GATOS,MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00186%
18032,CÃES|GATOS,MÉDIO|GRANDE,ADULTO,0.00186%
325285,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,SEM IDADE,0.00186%
314767,SEM ESPÉCIE,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00155%
331186,CÃES,GRANDE,ADULTO|SÊNIOR,0.00155%
312467,CÃES|GATOS,PEQUENO,ADULTO|SÊNIOR,0.00139%
63786,PÁSSAROS,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR,0.00139%
61773,CÃES,MÉDIO|GRANDE,ADULTO|SÊNIOR,0.00124%
333914,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE,0.00124%
20718,CÃES|GATOS,MÉDIO|GRANDE,ADULTO|SÊNIOR,0.00124%
326616,CÃES,GRANDE|GIGANTE,ADULTO|SÊNIOR,0.00108%
30481,RÉPTEIS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00108%
18488,CÃES|GATOS|PÁSSAROS|ROEDORES,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR,0.00093%
327589,CÃES|GATOS|PÁSSAROS,PEQUENO|MÉDIO|GRANDE,ADULTO,0.00093%
318924,GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.00093%
17073,CÃES|GATOS|RÉPTEIS|PÁSSAROS|ROEDORES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00077%
316695,CÃES|GATOS,MÉDIO|GRANDE,FILHOTE,0.00077%
327824,CÃES|GATOS,GRANDE,ADULTO|SÊNIOR,0.00077%
310757,CÃES|GATOS,PEQUENO,FILHOTE,0.00077%
57763,CÃES|GATOS,GRANDE,ADULTO,0.00077%
305772,CÃES,MÉDIO,ADULTO|SÊNIOR,0.00077%
56044,CÃES|GATOS|PÁSSAROS|RÉPTEIS,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR,0.00062%
333531,CÃES|GATOS,PEQUENO|MÉDIO,ADULTO|SÊNIOR,0.00062%
326955,GATOS,PEQUENO|MÉDIO,ADULTO,0.00062%
319442,CÃES,MÉDIO|GRANDE|GIGANTE,ADULTO|SÊNIOR,0.00062%
331168,RÉPTEIS,PEQUENO|MÉDIO,FILHOTE,0.00062%
332243,PÁSSAROS,PEQUENO|MÉDIO|GRANDE,FILHOTE,0.00062%
305590,CÃES|GATOS,MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.00062%
323878,CÃES|GATOS,MÉDIO|GRANDE|GIGANTE,ADULTO|SÊNIOR,0.00062%
331557,GATOS,SEM PORTE,SEM IDADE,0.00062%
19388,GATOS,MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00046%
302094,CÃES|GATOS|RÉPTEIS|PÁSSAROS|ROEDORES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00046%
334152,CÃES,PEQUENO|MÉDIO,ADULTO|SÊNIOR,0.00046%
21614,CÃES|GATOS|ROEDORES,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.00046%
22749,GATOS,MÉDIO|GRANDE,ADULTO,0.00046%
16726,ROEDORES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,0.00046%
306259,PÁSSAROS,MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00046%
331637,CÃES|GATOS,GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00046%
327588,CÃES|GATOS|RÉPTEIS|PÁSSAROS|ROEDORES,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.00031%
320265,CÃES|GATOS|ROEDORES,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.00031%
319874,CÃES|GATOS|PÁSSAROS|RÉPTEIS,PEQUENO|MÉDIO,ADULTO|SÊNIOR,0.00031%
324349,CÃES|GATOS|PÁSSAROS|RÉPTEIS,PEQUENO|MÉDIO|GRANDE,ADULTO,0.00031%
266744,GATOS,PEQUENO|MÉDIO,ADULTO|SÊNIOR,0.00031%
333500,CÃES|GATOS|RÉPTEIS|PÁSSAROS|ROEDORES,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.00031%
333286,CÃES|GATOS|RÉPTEIS|PÁSSAROS|ROEDORES,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR,0.00031%
328684,CÃES,MÉDIO|GRANDE|GIGANTE,FILHOTE,0.00031%
329243,GATOS,PEQUENO,ADULTO|SÊNIOR,0.00031%
267881,CÃES,PEQUENO|MÉDIO,SÊNIOR,0.00015%
