CODCLI,CODPROD,EAN,PRODUTO,ESPECIE,PORTE,IDADE,DEPARTAMENTO,DT_VENDA,QT_VENDA
303293,17670,7898923564135,"RAÇÃO SECA CAT EXCELLENCE PARA GATOS ADULTOS SALMÃO 10,1KG",GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,ALIMENTOS,00:00.0,1
269920,259528,7898510457932,RAÇÃO SECA HERCOSUL THREE DOGS SUPER PREMIUM PARA CÃES ADULTOS RAÇAS PEQUENAS E MINI FRANGO E CENOURA 1 KG,CÃES,PEQUENO,ADULTO,ALIMENTOS,00:00.0,1
317760,17670,7898923564135,"RAÇÃO SECA CAT EXCELLENCE PARA GATOS ADULTOS SALMÃO 10,1KG",GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,ALIMENTOS,00:00.0,1
1,2356,7892058111394,"RATICIDA BAYER RODILON PELLETS 25 G - PARA CAMUNDONGOS, RATOS E RATAZANAS",SEM ESPÉCIE,SEM PORTE,SEM IDADE,FARMÁCIA,00:00.0,5
317406,2460,7898923563336,RAÇÃO SECA DOG EXCELLENCE SUPER PREMIUM PARA CÃES FILHOTES RAÇAS PEQUENAS FRANGO 1KG,CÃES,PEQUENO,FILHOTE,ALIMENTOS,00:00.0,1
302136,260016,7898923564371,RAÇÃO SECA CAT EXCELLENCE PARA GATOS CASTRADOS CARNE 3 KG,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
306565,259547,7898510457673,RAÇÃO SECA HERCOSUL THREE DOGS PREMIUM ESPECIAL ORIGINAL PARA CÃES FILHOTES RAÇAS PEQUENAS E MINI 3 KG,CÃES,PEQUENO,FILHOTE,ALIMENTOS,00:00.0,1
18702,17671,7898923564159,"RAÇÃO SECA CAT EXCELLENCE PARA GATOS CASTRADOS SALMÃO 10,1KG",GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
3933,642,7898927674076,RATOEIRA ADESIVA AMERICAN PETS PEGA RATO,SEM ESPÉCIE,SEM PORTE,SEM IDADE,FARMÁCIA,00:00.0,1
3933,642,7898927674076,RATOEIRA ADESIVA AMERICAN PETS PEGA RATO,SEM ESPÉCIE,SEM PORTE,SEM IDADE,FARMÁCIA,00:00.0,1
1,260307,7898587111966,RATOEIRA ADESIVA BBB PET COLA RATO,SEM ESPÉCIE,SEM PORTE,SEM IDADE,FARMÁCIA,00:00.0,1
271652,17671,7898923564159,"RAÇÃO SECA CAT EXCELLENCE PARA GATOS CASTRADOS SALMÃO 10,1KG",GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
57885,17671,7898923564159,"RAÇÃO SECA CAT EXCELLENCE PARA GATOS CASTRADOS SALMÃO 10,1KG",GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
2761,17671,7898923564159,"RAÇÃO SECA CAT EXCELLENCE PARA GATOS CASTRADOS SALMÃO 10,1KG",GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
269867,54297,7898923564265,"RAÇÃO SECA CAT EXCELLENCE PARA GATOS FILHOTES FRANGO 10,1KG",GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE,ALIMENTOS,00:00.0,1
16480,259580,7898923564418,"RAÇÃO SECA CAT EXCELLENCE PARA GATOS SÊNIOR CASTRADOS FRANGO 10,1 KG",GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,SÊNIOR,ALIMENTOS,00:00.0,1
16684,267163,7898923564340,"RAÇÃO SECA CAT EXCELLENCE PATA GATOS ADULTOS FRANGO 10,1KG",GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,ALIMENTOS,00:00.0,1
19397,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,7
1,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
25421,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,5
16632,2466,7898923563152,RAÇÃO SECA DOG EXCELLENCE PARA CÃES ADULTOS RAÇAS GRANDES CARNE 15 KG,CÃES,GRANDE,ADULTO,ALIMENTOS,00:00.0,1
16632,2467,7898923563138,RAÇÃO SECA DOG EXCELLENCE PARA CÃES ADULTOS RAÇAS GRANDES FRANGO 15 KG,CÃES,GRANDE,ADULTO,ALIMENTOS,00:00.0,1
312343,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
24792,258408,7898510457574,RAÇÃO SECA HERCOSUL THREE DOGS PREMIUM ESPECIAL ORIGINAL PARA CÃES ADULTOS RAÇAS MÉDIAS E GRANDES 15KG,CÃES,MÉDIO|GRANDE,ADULTO,ALIMENTOS,00:00.0,1
